mp_id,category,config,nmae,seconds,grid,mass_captured,effective_threshold
mp-1886230,other,fourier-lowg-100pct,5.5800366384112396e-08,0.023264417017344385,"(128, 128, 128)",,
mp-1886230,other,delta-fourier-lowg-0.25pct,0.5123810740702445,1.1026126249926165,"(128, 128, 128)",,
mp-1886230,other,delta-fourier-lowg-0.5pct,0.20219809377848372,1.098345666017849,"(128, 128, 128)",,
mp-1886230,other,delta-fourier-lowg-1pct,0.04948447865261045,1.1260584580013528,"(128, 128, 128)",,
mp-1886230,other,delta-fourier-lowg-5pct,0.0011514385802455908,1.3115064589946996,"(128, 128, 128)",,
mp-1886230,other,delta-fourier-lowg-25pct,0.0003555827050020416,1.1294459170021582,"(128, 128, 128)",,
mp-2379952,other,direct,2.1729252694174304e-08,0.0006341249973047525,"(128, 128, 128)",,
mp-2379952,other,cutoff-top-1pct,0.8944387508869697,0.007647166989045218,"(128, 128, 128)",0.1055612564086914,709.88037109375
mp-2379952,other,cutoff-top-5pct,0.6141840869877564,0.0075591249915305525,"(128, 128, 128)",0.38581591844558716,432.1578063964844
mp-2379952,other,cutoff-top-25pct,0.17222497282590704,0.010975707991747186,"(128, 128, 128)",0.8277750015258789,66.43965911865234
mp-2379952,other,cutoff-top-100pct,2.1729252694174304e-08,0.006472709006629884,"(128, 128, 128)",1.0,1.5304601192474365
mp-2379952,other,fourier-lowg-0.25pct,0.03593370558522492,0.021770249994006008,"(128, 128, 128)",,
mp-2379952,other,fourier-lowg-0.5pct,0.01954764850957055,0.02121220901608467,"(128, 128, 128)",,
mp-2379952,other,fourier-lowg-1pct,0.009584882910469729,0.02192199998535216,"(128, 128, 128)",,
mp-2379952,other,fourier-lowg-5pct,0.00037731110043995477,0.0240610420005396,"(128, 128, 128)",,
mp-2379952,other,fourier-lowg-25pct,0.00010180487389757662,0.02421545799006708,"(128, 128, 128)",,
mp-2379952,other,fourier-lowg-100pct,4.0111808870856206e-08,0.02244816700113006,"(128, 128, 128)",,
mp-2379952,other,delta-fourier-lowg-0.25pct,0.04378598080470362,0.6587860829895362,"(128, 128, 128)",,
mp-2379952,other,delta-fourier-lowg-0.5pct,0.021449828856499733,0.657452541985549,"(128, 128, 128)",,
mp-2379952,other,delta-fourier-lowg-1pct,0.009642903423080662,0.6433150419907179,"(128, 128, 128)",,
mp-2379952,other,delta-fourier-lowg-5pct,0.00037731115532797126,0.8225749999983236,"(128, 128, 128)",,
mp-2379952,other,delta-fourier-lowg-25pct,0.00010180488676194614,0.6606230000033975,"(128, 128, 128)",,
mp-1787846,oxide,direct,2.140880563022456e-08,0.0008476670191157609,"(128, 128, 128)",,
mp-1787846,oxide,cutoff-top-1pct,0.8460623819888846,0.008460374985588714,"(128, 128, 128)",0.15393762290477753,777.8306884765625
mp-1787846,oxide,cutoff-top-5pct,0.5455307843224294,0.009251832991139963,"(128, 128, 128)",0.4544692039489746,320.275146484375
mp-1787846,oxide,cutoff-top-25pct,0.15370656630226615,0.008550832979381084,"(128, 128, 128)",0.8462934494018555,49.036643981933594
